term,Estimate,Std. Error,t value,Pr(>|t|),displacement,lb,ub
L5,0.0270060795237054,0.0103591454376776,2.60697947395166,0.00915334702004167,-5,0.0067021544658574,0.0473100045815534
L4,0.0137211782945649,0.00829590198991016,1.65397063649658,0.0981771370952638,-4,-0.00253878960565899,0.0299811461947889
L3,0.0184316998716078,0.00779038370089019,2.36595533407445,0.0180099883967363,-3,0.00316254781786302,0.0337008519253526
L2,0.0109849035200608,0.00721011815145136,1.52354001547805,0.127667642845425,-2,-0.0031469280567839,0.0251167350969054
L1,0.00212627963623385,0.00725811938250457,0.292951868683665,0.769567396791775,-1,-0.0120996343534751,0.0163521936259428
L0,-0.0354739184293531,0.00739242815599751,-4.7986828793964,1.62934605366032e-06,0,-0.0499630776151083,-0.020984759243598
F1,-0.0521633165997237,0.00744188251962667,-7.00942489513265,2.61035939392575e-12,1,-0.066749406338192,-0.0375772268612554
F2,-0.0287799640607696,0.00733539110386769,-3.92343961668177,8.81071000749132e-05,2,-0.0431573306243502,-0.0144025974971889
F3,-0.0188739028903797,0.0076829885295162,-2.45658350495653,0.0140499885202461,3,-0.0339325604082315,-0.00381524537252796
F4,-0.0155569451850123,0.00819954781029936,-1.89729306358472,0.0578293034520703,4,-0.031628058893199,0.000514168523174471
F5,-0.00657011816270869,0.00934587871547604,-0.702996300586385,0.482080818903124,5,-0.0248880404450417,0.0117478041196244
F6,-0.0194981011437179,0.0100893851493034,-1.93253611148584,0.0533326042245025,6,-0.0392732960363526,0.000277093748916862
F7,-0.0435883762745499,0.0124917018130004,-3.48938654853148,0.00048703197379581,7,-0.0680721118280307,-0.0191046407210691
