model,term,estimate,std_error,stat,p_value
M1,exp_personal_lagged_1,-0.144244977849874,0.131616481404941,-1.09594920263884,0.277630892136136
M3,exp_personal_lagged_1,-0.136633151823032,0.132179681633092,-1.03369254740908,0.305570896967061
M2,exp_state_nat_lagged_1,-0.0580007383352229,0.0195772109321176,-2.96266605781261,0.00441647074445844
M3,exp_state_nat_lagged_1,-0.0589730846327366,0.0196164135242974,-3.00631328757885,0.00390370148575053
M4,exp_personal_nat_l3,-0.103173082107573,0.0752856379719878,-1.37042183458632,0.175836211990632
M6,exp_personal_nat_l3,-0.099079750809358,0.0756460431632328,-1.30978100990106,0.195434279477595
M5,exp_state_nat_lagged_l3,-0.0322255371397103,0.0112910407106778,-2.8540803248752,0.00597595104756067
M6,exp_state_nat_lagged_l3,-0.0326323330634917,0.0113549737298962,-2.87383606864496,0.00565886197747307
M1,pexp_wealth,-0.235059582950316,0.14391544603485,-1.63331726667751,0.10781977920708
M3,pexp_wealth,-0.241737788269804,0.143706855199629,-1.68215905868928,0.0979149816082029
M4,pexp_wealth,-0.120540533092371,0.082611923692251,-1.45911785738598,0.149927548758562
M6,pexp_wealth,-0.122432781525643,0.0829487529935011,-1.47600508877132,0.145351280795896
M2,mexp_wealth,0.00460857340153798,0.0144386459978888,0.319183211653769,0.750734340213808
M3,mexp_wealth,0.00838310065609175,0.01444337646388,0.580411420906754,0.563885529618431
M5,mexp_wealth,-0.0016571216713983,0.00761042797465541,-0.217743558827036,0.828393163826191
M6,mexp_wealth,0.000133227720653154,0.00763580662307759,0.0174477599066616,0.986139290633757
M1,liquid_wealth_low,0.0201883580145977,0.0091803865122378,2.19907495045942,0.0318737648629954
M2,liquid_wealth_low,-0.0223019995980948,0.0873317998894543,-0.255370891546092,0.79934008491726
M3,liquid_wealth_low,-0.0305499881579637,0.0874959060744249,-0.349159058161848,0.728234377321568
M4,liquid_wealth_low,0.0131138299880768,0.00626131991460148,2.09441941426681,0.0406018787057713
M5,liquid_wealth_low,0.0156181765877715,0.0451844601181555,0.345653716940086,0.730853563551891
M6,liquid_wealth_low,0.0122129990431875,0.0451424745940707,0.270543410679388,0.78770265123879
