"",model 1,model 2,model 3,model 4,model 5
Dependent Var.:,f8_income,f16_income,f24_income,f32_income,f40_income
 , , , , , 
p_delta,-0.005 (0.035),0.221*** (0.036),0.348*** (0.030),0.404*** (0.025),0.418*** (0.023)
Fixed-Effects:,--------------,----------------,----------------,----------------,----------------
period,Yes,Yes,Yes,Yes,Yes
educ,Yes,Yes,Yes,Yes,Yes
_______________,______________,________________,________________,________________,________________
S.E.: Clustered,by: period,by: period,by: period,by: period,by: period
Observations,"1,520,000","1,440,000","1,360,000","1,280,000","1,200,000"
R2,0.38065,0.30614,0.28059,0.26549,0.25476
Within R2,0.26202,0.17070,0.13657,0.11499,0.09792
